company_name,guessed_symbol,confidence
Merritronix,MENNPIS,50.0
Kewal Kir.Cloth.,KKCL,50.0
Basilic Fly Stud,BALAJITELE,50.0
H P C L,PCBL,50.0
Bai-Kakaji Poly.,BANKA,50.0
Ellen.Indl.Gas,ONIDA,51.6
KRM Ayurveda,PURVA,52.2
P & G Hygiene,AGI,52.2
I O C L,UGROCAP,52.6
N S D L,NDLVENTURE,52.6
Uni Abex Alloy,APLAPOLLO,53.3
Modern Malleable,MARALOVER,53.3
Vinsys IT Serv.,SGFIN,53.8
Utssav CZ Gold,CCL,53.8
Sathlokhar Sys.,ASAHIINDIA,53.8
C D S L,ICDSLTD,54.5
Auto.Corp.of Goa,ACGL,54.5
D B Corp,DCBBANK,54.5
C P C L,OCCLLTD,54.5
B P C L,OBCL,54.5
Accent Microcell,RAMCOCEM,54.5
Team Lease Serv.,ASIANTNE,54.5
Yash Highvoltage,VOLTAS,54.5
ICICI Lombard,CGCL,54.5
L. T. Elevator,DEVX,55.2
Schneider APW,WINDMACHIN,55.2
Nippon Life Ind.,UNIONBANK,55.2
Monolithisch Ind,INDORAMA,55.6
Emkay Tools,KSL,56.0
Tinna Rubber,CUBEXTUB,56.0
Gaudium IVF,GAUDIUMIVF,56.4
Anondita Medi.,DNAMEDIA,57.1
Talbros Auto.,JBMA,57.1
Foseco Crucible,FOSECOIND,57.1
Prizor Viztech,COMFINTE,57.1
India Nipp.Elec.,NILE,57.1
OBSC Perfection,PREMCO,57.1
Crompton Gr. Con,NDRAUTO,57.1
I T D C,DISHTV,57.1
CFF Fluid,CUPID,57.1
Assoc.Alcohols,EIHAHOTELS,57.1
I R C T C,ISTLTD,57.1
Privi Speci.,PRIVISCL,57.9
Cellecor Gadgets,DEVX,58.1
Unified Data,AVANTIFEED,58.3
PNGS Gargi FJ,MMFL,58.3
Shri Ahimsa,ASHIMASYN,58.8
UTI AMC,TIPSMUSIC,58.8
Garden Reach Sh.,GRSE,58.8
Techno Elec.Engg,TECHNOE,58.8
S P I C,TIPSMUSIC,58.8
Modern Insulator,PIONRINV,58.8
Tuticorin Alkali,TUTIALKA,59.3
Oracle Fin.Serv.,SGFIN,59.3
Hemant Surgical,SHIVACEM,59.3
Covance Softsol,CONCOR,59.3
Unihealth Hosp,MEDANTA,59.3
Central Mine Pla,CMPDI,59.3
Zelio E-Mobility,OLAELEC,59.5
Volt.Transform.,INDOTECH,59.5
Bizotic Commer.,CONCORDBIO,60.0
Influx Health.,SUNLOC,60.0
Foce India,FOSECOIND,60.0
Alpex Solar,BLUESTARCO,60.0
Sacheerome,AKSHARCHEM,60.0
Sunlite Recycli.,SUNTECK,60.0
Fabtech Cleanrooms,CEINSYS,60.0
Arkade,TAKE,60.0
Chambal Fert.,FCL,60.0
Bhansali Engg.,BEPL,60.5
Mobavenue AI Tech,CNL,60.6
Garuda Cons,RUPA,60.9
Neetu Yoshi,SHIVACEM,60.9
Apsis Aerocom,ARIES,60.9
Airfloa Rail,BIRLACABLE,60.9
Namo eWaste,DBREALTY,60.9
Hind.Construct.,MANINFRA,61.1
Saint-Gob. Sekur,SEKURITIND,61.1
Systematic Inds.,INDORAMA,61.1
Ganesh Green,GANESHHOU,61.5
Canara Robeco,BANARBEADS,61.5
Dynacons Sys.,DSSL,61.5
NGL Fine Chem,NGLFINE,61.5
Stellant Secu.,ELANTAS,61.5
EIH Assoc.Hotels,ITCHOTELS,61.5
K P R Mill Ltd,MALUPAPER,61.5
Kovai Medical,KOVAI,61.9
Billionbrains,GROWW,61.9
Elecon Engg.Co,EBGNG,62.1
Sun Pharma.Inds.,SUDEEPPHRM,62.1
R M Drip & Sprin,RMDRIP,62.2
Action Const.Eq.,ACE,62.2
OSEL Devices,TRAVELFOOD,62.5
String Metaverse,ZFSTEERING,62.5
Quality Power El,QPOWER,62.7
Kalyani Cast-Tec,KALYANI,62.9
Commerl. Synbags,COMSYN,62.9
Hind.Aeronautics,HINDALCO,62.9
A C J K Exports,CGVAK,63.2
Kirl.Pneumatic,KIRLPNU,63.4
Indian Metals,PRADPME,63.6
CLN Energy,ATHERENERG,63.6
Navin Fluo.Intl.,NAVINFLUOR,63.6
Vidhi Specialty,VIDHIING,63.8
South West Pinn.,SOUTHWEST,63.8
Vikram Thermo,VIKRAMSOLR,64.0
Aditya AMC,BIRLAMONEY,64.3
Captain Techno.,CARTRADE,64.3
Exhicon Events,DECCANCE,64.3
Valiant Commun.,VALIANTORG,64.5
Jaro Institute,MANBRO,64.5
Krishna Defence,SHRIKRISH,64.7
Vivid Electromech,ONIDA,64.7
FlySBS Aviation,INDIGO,64.7
Vinyas Innovativ,INNOVANA,64.7
Silver Touch,SILVERTUC,64.9
Mazagon Dock,MAZDOCK,64.9
Nucleus Soft.,NUCLEUS,64.9
Rainbow Child.,RAINBOW,65.0
Shringar House,SHRINGARMS,65.1
Multi Comm. Exc.,MCX,65.1
